week_ending,month,week_of_month,week_of_year,store,concept,sales,group_meal,guest_count
1/8/2017,Jan,1,1,MF1,Mighty Fine,58250,0,6150
1/8/2017,Jan,1,1,MF2,Mighty Fine,48866,0,5221
1/8/2017,Jan,1,1,MF3,Mighty Fine,48782,0,5243
1/8/2017,Jan,1,1,MF4,Mighty Fine,52862,0,5794
1/8/2017,Jan,1,1,MFT1,Mighty Fine,2830,0,277
1/8/2017,Jan,1,1,MFT2,Mighty Fine,15458,0,1473
1/8/2017,Jan,1,1,Lamar,Rudys,0,0,0
1/8/2017,Jan,1,1,620,Rudys,101497,9743.96,5393
1/8/2017,Jan,1,1,Round Rock,Rudys,165039,10964.07,8921
1/8/2017,Jan,1,1,360,Rudys,146217,12162.74,8052
1/8/2017,Jan,1,1,183,Rudys,178988,22007.49,9657
1/15/2017,Jan,2,2,MF1,Mighty Fine,59350,0,6192
1/15/2017,Jan,2,2,MF2,Mighty Fine,48000,0,5161
1/15/2017,Jan,2,2,MF3,Mighty Fine,51087,0,5423
1/15/2017,Jan,2,2,MF4,Mighty Fine,52139,0,5694
1/15/2017,Jan,2,2,MFT1,Mighty Fine,3724,0,377
1/15/2017,Jan,2,2,MFT2,Mighty Fine,18189,0,1724
1/15/2017,Jan,2,2,Lamar,Rudys,0,0,0
1/15/2017,Jan,2,2,620,Rudys,106385,8794.11,5320
1/15/2017,Jan,2,2,Round Rock,Rudys,189809,17056.87,9456
1/15/2017,Jan,2,2,360,Rudys,174061,28383.42,8015
1/15/2017,Jan,2,2,183,Rudys,220394,43537.78,9993
1/22/2017,Jan,3,3,MF1,Mighty Fine,56338,0,6000
1/22/2017,Jan,3,3,MF2,Mighty Fine,49850,0,5330
1/22/2017,Jan,3,3,MF3,Mighty Fine,53053,0,5617
1/22/2017,Jan,3,3,MF4,Mighty Fine,55112,0,6139
1/22/2017,Jan,3,3,MFT1,Mighty Fine,3071,0,305
1/22/2017,Jan,3,3,MFT2,Mighty Fine,19187,0,1793
1/22/2017,Jan,3,3,Lamar,Rudys,0,0,0
1/22/2017,Jan,3,3,620,Rudys,106985,11486.56,5313
1/22/2017,Jan,3,3,360,Rudys,163283,17878.67,7948
1/22/2017,Jan,3,3,Round Rock,Rudys,190255,21152.43,9224
1/22/2017,Jan,3,3,183,Rudys,221491,40206.73,10293
1/29/2017,Jan,4,4,MF1,Mighty Fine,57545,0,5998
1/29/2017,Jan,4,4,MF2,Mighty Fine,47732,0,5059
1/29/2017,Jan,4,4,MF3,Mighty Fine,50159,0,5358
1/29/2017,Jan,4,4,MF4,Mighty Fine,55399,0,6074
1/29/2017,Jan,4,4,MFT1,Mighty Fine,3135,0,317
1/29/2017,Jan,4,4,MFT2,Mighty Fine,19776,0,1828
1/29/2017,Jan,4,4,Lamar,Rudys,0,0,0
1/29/2017,Jan,4,4,620,Rudys,111984,16211.24,5201
1/29/2017,Jan,4,4,Round Rock,Rudys,195736,20710.03,9472
1/29/2017,Jan,4,4,360,Rudys,174367,29798.79,7872
1/29/2017,Jan,4,4,183,Rudys,212698,38997.69,9806
2/5/2017,Feb,1,5,MF1,Mighty Fine,54082,0,5717
2/5/2017,Feb,1,5,MF2,Mighty Fine,47477,0,5079
2/5/2017,Feb,1,5,MF3,Mighty Fine,47105,0,4999
2/5/2017,Feb,1,5,MF4,Mighty Fine,51988,0,5671
2/5/2017,Feb,1,5,MFT1,Mighty Fine,1603,0,163
2/5/2017,Feb,1,5,MFT2,Mighty Fine,18308,0,1705
2/5/2017,Feb,1,5,Lamar,Rudys,0,0,0
2/5/2017,Feb,1,5,620,Rudys,113416,15478.37,5316
2/5/2017,Feb,1,5,Round Rock,Rudys,205476,25394.25,9802
2/5/2017,Feb,1,5,360,Rudys,185176,37801.21,7999
2/5/2017,Feb,1,5,183,Rudys,222036,43501.67,10078
2/12/2017,Feb,2,6,MF1,Mighty Fine,56685,0,5966
2/12/2017,Feb,2,6,MF2,Mighty Fine,48329,0,5166
2/12/2017,Feb,2,6,MF3,Mighty Fine,53325,0,5700
2/12/2017,Feb,2,6,MF4,Mighty Fine,58006,0,6303
2/12/2017,Feb,2,6,MFT1,Mighty Fine,1736,0,170
2/12/2017,Feb,2,6,MFT2,Mighty Fine,21126,0,2108
2/12/2017,Feb,2,6,Lamar,Rudys,0,0,0
2/12/2017,Feb,2,6,620,Rudys,109939,12132.02,5249
2/12/2017,Feb,2,6,Round Rock,Rudys,191605,18167.39,9505
2/12/2017,Feb,2,6,183,Rudys,208197,28803.36,10044
2/12/2017,Feb,2,6,360,Rudys,181873,29016.81,8159
2/19/2017,Feb,3,7,MF1,Mighty Fine,57921,0,6054
2/19/2017,Feb,3,7,MF2,Mighty Fine,51046,0,5462
